"id","name","address","email","username","url","uuid","ipv4","ipv6","mac","color","company","job","word","sentence","active","quantity","price","date","ean","isbn","code","category","status","note","optional"
"1000","王知秋","测试省示例市西城区样本大道60号","user_ljzfwghtvybm@example.test","user_vtocpmnifxln","https://sample-twsqvdhp.example.test/rmngra","88812fde-c7b6-47a9-9fd3-1c3b07cdb99c","192.0.2.181","2001:db8:dcf8:76a8:c18c:7f4e:75f7:ca99","72:c4:25:56:53:cc","#e6b32d","示例青山信息有限公司","测试工程师","山林","脚步，月色，希望。","false","3","84.93","2024-02-29","4878688096204","9784018165388","SKU-dy-4047","A","archived","a,""b""
c",""
"1002","钱思远","测试省样本市新区星河路1号","user_qkykvulhnkxi@example.test","user_cubsnfjzrqlk","https://sample-ybsffuvf.example.test/angwuv","4ab0d13a-a0f6-4f47-93aa-119f4236cf93","192.0.2.182","2001:db8:6278:509e:eccc:dbd8:b4d1:7900","52:cf:b0:12:73:22","#2019ca","示例云帆文创有限公司","项目经理","山林","青石，时间，窗台。","false","3","219.28","2024-03-01","4707528444670","9785495903760","SKU-fp-5751","B,quoted","active","a,""b""
c",""
"1004","赵子安","测试省示例市东城区样本大道415号","user_fikcotexdonx@example.test","user_zdvgnukbbhuk","https://sample-mklpcnbs.example.test/pawvcw","27ea3b54-4cfe-4977-a145-672ab4fbccbe","192.0.2.252","2001:db8:804e:d20c:98d3:9001:6f06:9b2c","aa:34:e4:01:8b:4d","#c83176","示例远航科技有限公司","技术写作者","青石","远方，时间，云影。","false","9","-75.35","2024-02-28","9789267565323","9781619181151","SKU-za-8868","C
line","archived","a,""b""
c","optional"
"1006","孙清和","测试省样本市新区星河路766号","user_fkmzsicirooz@example.test","user_jkzwegyzopfp","https://sample-mliopunk.example.test/qxudns","906c7a41-5c44-429b-a513-d815ff83aef5","198.51.100.27","2001:db8:38db:c502:09d7:53d3:c7a9:8d87","ea:f2:6c:4f:72:1d","#b878a6","示例星河科技有限公司","技术写作者","云影","晨光，灯火，窗台。","false","8","-93.02","2024-02-29","0000279282978","9785346810643","SKU-ya-4978","B,quoted","archived","a,""b""
c",""
"1008","张文静","测试省示例市东城区样本大道435号","user_zrcdfwdencmc@example.test","user_ybsfkuplsmbs","https://sample-vlosynib.example.test/nntcfs","4eac9ea4-2f6e-4b71-a9fd-e262b533ba1e","198.51.100.197","2001:db8:9bfb:134f:1d0b:f6f1:9b15:b685","f2:33:16:a6:a4:6d","#c0d4ee","示例青山文创有限公司","插画师","花园","春日，云影，脚步。","true","7","198.40","2024-02-28","2435527970228","9783103984071","SKU-nb-2753","B,quoted","archived","a,""b""
c","optional"
"1010","钱文静","测试省示例市西城区星河路303号","user_dpgsrvppdsld@example.test","user_xcuwpylocokk","https://sample-scyzdwlv.example.test/ndjevm","4d7a61aa-4233-493d-9da5-545d9896935f","203.0.113.64","2001:db8:623d:b57f:c33c:b0b0:4337:529c","7a:ff:eb:fb:6b:13","#5fc97c","示例星河科技有限公司","数据分析师","时间","山林，春日，雨声。","false","2","198.94","2024-03-01","2992822248778","9780272529065","SKU-wv-5708","B,quoted","active","a,""b""
c","optional"
"1012","周晓月","测试省示例市东城区明月街867号","user_xwfvxmfvqxum@example.test","user_ffwbusaqximx","https://sample-agiqgbvn.example.test/tbjdxu","d3a23061-2fd5-4e4e-a022-6e1f750c4082","203.0.113.50","2001:db8:be32:6e92:84a8:bccd:b5c4:6390","b6:d7:da:ef:c1:93","#0e3e4d","示例绿洲科技有限公司","插画师","果实","月色，希望，海岸。","false","6","175.69","2024-02-28","7979530077956","9788770621335","SKU-pj-9152","C
line","archived","a,""b""
c",""
"1014","王知秋","测试省示例市东城区明月街639号","user_nmjdlzfucrlv@example.test","user_wavicslkvtwl","https://sample-ubnwwjbf.example.test/hkvwap","727db7f4-2112-459c-8115-713472195393","192.0.2.26","2001:db8:fede:2ad1:ba6f:5edd:84f2:3cc9","82:10:40:51:b8:a4","#ee5305","示例绿洲科技有限公司","系统管理员","海岸","晨光，晨光，河流。","true","9","-30.45","2024-03-01","1263928558339","9789097144453","SKU-jh-9687","B,quoted","archived","a,""b""
c","optional"
"1016","黄文静","测试省示例市西城区星河路358号","user_ajkjaavnuoao@example.test","user_ybapuwpblvfz","https://sample-krvwmvey.example.test/ioxgzy","efe0bb45-9178-481c-9205-d6f94f9c4d54","203.0.113.211","2001:db8:8978:88ea:5257:f86a:10b3:7f30","4e:65:a4:f2:1e:c5","#57bb07","示例云帆科技有限公司","研究助理","月色","旅程，河流，春日。","false","1","242.04","2024-03-01","7509695744723","9787566164056","SKU-vc-0969","B,quoted","active","a,""b""
c","optional"
"1018","陈思远","测试省示例市东城区样本大道452号","user_dmkvexbjqoxl@example.test","user_pqqmdimpdaqb","https://sample-xprjqcqy.example.test/utpzjs","72681404-0c74-4a2a-874b-84d5c9376ad5","203.0.113.174","2001:db8:2867:44e9:c41b:d528:345e:8260","ce:19:e7:9e:81:70","#3bfec7","示例远航文创有限公司","系统管理员","故事","月色，灯火，窗台。","false","3","278.66","2024-03-02","4101469600681","9781539577935","SKU-jc-8658","C
line","archived","a,""b""
c","optional"
"1020","郑若云","测试省样本市新区星河路301号","user_ipxdxaqdhsmr@example.test","user_pqjueoydbgxh","https://sample-kwjvvkrl.example.test/zdbrsn","13255bb9-6173-4949-9999-c51cad8c37aa","192.0.2.146","2001:db8:0dbb:c881:8d46:9386:b3f8:9f8e","4e:7e:62:be:fb:82","#c146cf","示例海棠信息有限公司","项目经理","时间","山林，海岸，雨声。","true","7","17.36","2024-03-02","7883406576514","9783701441969","SKU-ls-4054","C
line","archived","a,""b""
c",""
"1022","吴小川","测试省样本市新区星河路970号","user_nzejpfemolth@example.test","user_ohqimlipmvzt","https://sample-hnrfkwak.example.test/txcnvu","ae75c6a7-abad-4f78-9a08-8da89b5bec3d","198.51.100.199","2001:db8:ffcf:1e39:55c5:4c57:c96f:8272","42:da:8d:9d:2c:f2","#ff7ad6","示例晨光设计有限公司","软件工程师","书页","旅程，山林，果实。","false","6","117.12","2024-02-28","3780000797816","9782067378612","SKU-fa-8451","B,quoted","active","a,""b""
c",""
"1024","叶子安","测试省示例市东城区星河路1号","user_ghnadsrlsgjj@example.test","user_ruefvqvgpywg","https://sample-pzlcfcdp.example.test/efmqlj","d1764d4a-a7ff-4ac2-9cd7-d3edfca3d733","203.0.113.136","2001:db8:b469:bc5b:ff0f:3047:7e9a:b111","4a:9b:a9:fe:b6:69","#d6e95e","示例星河文创有限公司","研究助理","山林","云影，果实，故事。","false","3","227.11","2024-03-01","9100987064307","9788240477967","SKU-dc-5234","A","archived","a,""b""
c","optional"
"1026","林星辰","测试省示例市西城区明月街715号","user_ljoabbvmhnsf@example.test","user_hswsfdzjjbyp","https://sample-jglcbulc.example.test/cqeokl","03a56175-2b82-41e7-83fd-ad474f546325","192.0.2.48","2001:db8:bc58:1573:c485:bae8:665b:287b","36:f9:2c:36:17:91","#569e87","示例青山科技有限公司","数据分析师","果实","山林，青石，云影。","false","8","110.32","2024-02-28","0729124787344","9787125211221","SKU-ut-1789","A","archived","a,""b""
c","optional"
"1028","李清和","测试省示例市西城区星河路852号","user_cjydthwpanfj@example.test","user_gdpeuttwdgmi","https://sample-tvzdozyx.example.test/rvjqcd","6b38e038-6016-4d90-876d-45297913ee9a","192.0.2.2","2001:db8:5857:e72c:d8c6:847f:7945:1b72","7e:c0:ae:69:6b:40","#f0fd54","示例青山科技有限公司","园艺师","河流","花园，春日，晨光。","false","7","-41.32","2024-03-01","2115261499680","9782336298399","SKU-tk-7163","B,quoted","active","a,""b""
c","optional"
"1030","钱文静","测试省示例市东城区样本大道740号","user_dnnifitubaoe@example.test","user_xboqzyvwypxh","https://sample-eutmdilp.example.test/clsrov","7b6e4713-146e-4d8c-a536-9dbc6f65e0f4","192.0.2.169","2001:db8:ad88:6421:1aae:0185:5532:5f4b","9e:40:a0:69:ab:c3","#d8bbde","示例远航文创有限公司","技术写作者","脚步","灯火，微风，书页。","true","4","63.45","2024-03-01","1864414169932","9789931084174","SKU-qp-5256","A","active","a,""b""
c","optional"
"1032","叶清和","测试省示例市西城区青山路187号","user_pkhligxkuyvi@example.test","user_nkkowgmopcbm","https://sample-rvqiodzw.example.test/vnhhou","cd474763-d74b-474b-a643-e0fe12e614d3","192.0.2.245","2001:db8:704c:6042:0bac:d358:8d5b:ca8a","a6:d1:f6:ca:c0:a2","#832c05","示例云帆设计有限公司","项目经理","云影","书页，花园，晨光。","true","2","21.88","2024-02-28","5248437945265","9782276155318","SKU-sd-6957","C
line","active","a,""b""
c","optional"
